Category: Programming

Week,R: (Worldwide),SQL: (Worldwide),Python: (Worldwide)
2015-02-15,10,54,54
2015-02-22,10,56,55
2015-03-01,9,57,58
2015-03-08,10,57,56
2015-03-15,10,56,57
2015-03-22,10,59,60
2015-03-29,9,52,56
2015-04-05,9,53,55
2015-04-12,10,57,59
2015-04-19,10,57,57
2015-04-26,9,52,54
2015-05-03,9,54,55
2015-05-10,9,56,54
2015-05-17,10,58,56
2015-05-24,9,56,52
2015-05-31,10,56,56
2015-06-07,10,58,57
2015-06-14,10,58,58
2015-06-21,9,58,59
2015-06-28,9,53,54
2015-07-05,9,54,56
2015-07-12,10,54,55
2015-07-19,10,53,56
2015-07-26,10,53,57
2015-08-02,9,53,53
2015-08-09,9,52,54
2015-08-16,9,53,54
2015-08-23,9,52,56
2015-08-30,9,52,55
2015-09-06,9,52,58
2015-09-13,9,53,60
2015-09-20,10,52,59
2015-09-27,9,53,59
2015-10-04,10,54,63
2015-10-11,10,53,62
2015-10-18,11,53,62
2015-10-25,9,54,61
2015-11-01,10,55,63
2015-11-08,10,51,60
2015-11-15,10,55,64
2015-11-22,9,52,60
2015-11-29,10,53,63
2015-12-06,10,52,62
2015-12-13,10,53,62
2015-12-20,8,38,50
2015-12-27,6,30,43
2016-01-03,8,44,58
2016-01-10,9,47,62
2016-01-17,10,49,66
2016-01-24,9,49,66
2016-01-31,10,51,71
2016-02-07,10,50,67
2016-02-14,9,51,68
2016-02-21,10,52,69
2016-02-28,10,51,71
2016-03-06,11,53,70
2016-03-13,10,52,69
2016-03-20,10,46,67
2016-03-27,10,48,67
2016-04-03,10,52,70
2016-04-10,10,50,71
2016-04-17,10,51,71
2016-04-24,10,51,68
2016-05-01,9,47,66
2016-05-08,10,52,69
2016-05-15,10,51,68
2016-05-22,10,50,70
2016-05-29,10,49,69
2016-06-05,11,51,71
2016-06-12,11,51,70
2016-06-19,10,50,69
2016-06-26,10,48,67
2016-07-03,9,45,66
2016-07-10,9,47,66
2016-07-17,10,48,66
2016-07-24,10,46,64
2016-07-31,10,46,64
2016-08-07,9,46,63
2016-08-14,8,43,55
2016-08-21,9,49,65
2016-08-28,9,46,68
2016-09-04,10,45,67
2016-09-11,10,48,70
2016-09-18,10,48,73
2016-09-25,11,47,73
2016-10-02,10,47,72
2016-10-09,10,47,74
2016-10-16,11,49,78
2016-10-23,11,52,80
2016-10-30,11,47,78
2016-11-06,11,50,76
2016-11-13,12,52,82
2016-11-20,11,48,75
2016-11-27,11,51,82
2016-12-04,11,49,82
2016-12-11,10,47,76
2016-12-18,9,46,71
2016-12-25,7,32,55
2017-01-01,9,40,68
2017-01-08,11,49,81
2017-01-15,11,48,82
2017-01-22,12,50,84
2017-01-29,11,50,86
2017-02-05,12,53,88
2017-02-12,12,53,91
2017-02-19,12,51,94
2017-02-26,13,53,94
2017-03-05,13,53,95
2017-03-12,12,52,95
2017-03-19,13,53,96
2017-03-26,13,53,95
2017-04-02,12,53,95
2017-04-09,12,48,92
2017-04-16,12,49,92
2017-04-23,13,51,93
2017-04-30,12,45,87
2017-05-07,12,53,92
2017-05-14,12,52,89
2017-05-21,11,50,86
2017-05-28,11,48,85
2017-06-04,11,49,86
2017-06-11,12,49,90
2017-06-18,12,48,93
2017-06-25,11,46,87
2017-07-02,10,45,84
2017-07-09,11,49,90
2017-07-16,11,50,91
2017-07-23,11,49,90
2017-07-30,11,48,89
2017-08-06,11,48,86
2017-08-13,10,46,83
2017-08-20,11,48,85
2017-08-27,11,46,88
2017-09-03,11,53,100
